mode,K,N,sample,k_eff_target,k_eff_actual,c,window_floored,query_ref,needle_lo,needle_hi,arm,outcome,first_code,needle_in_topk,keff_onset,prompt_hash,oom
semantic,16,32000,0,dense,-,-,-,ivory door,19856,19870,dense,CORRECT,3306623,,,7819465866cb,False
semantic,16,32000,0,1300,1300,0.040603,0,ivory door,19856,19870,sparse,CORRECT,3306623,0.664,,7819465866cb,False
semantic,16,32000,0,2000,2000,0.062457,0,ivory door,19856,19870,sparse,CORRECT,3306623,0.742,,7819465866cb,False
semantic,16,32000,0,2600,2600,0.081190,0,ivory door,19856,19870,sparse,CORRECT,3306623,0.787,,7819465866cb,False
semantic,16,32000,0,3500,3500,0.109288,0,ivory door,19856,19870,sparse,CORRECT,3306623,0.832,,7819465866cb,False
semantic,16,32000,0,5200,5200,0.162363,0,ivory door,19856,19870,sparse,CORRECT,3306623,0.893,,7819465866cb,False
semantic,16,32000,1,dense,-,-,-,amber wall,409,423,dense,CORRECT,4901424,,,9e705a02bdc7,False
semantic,16,32000,1,1300,1300,0.040603,0,amber wall,409,423,sparse,CORRECT,4901424,0.512,,9e705a02bdc7,False
semantic,16,32000,1,2000,2000,0.062457,0,amber wall,409,423,sparse,CORRECT,4901424,0.539,,9e705a02bdc7,False
semantic,16,32000,1,2600,2600,0.081190,0,amber wall,409,423,sparse,CORRECT,4901424,0.566,,9e705a02bdc7,False
semantic,16,32000,1,3500,3500,0.109288,0,amber wall,409,423,sparse,CORRECT,4901424,0.623,,9e705a02bdc7,False
semantic,16,32000,1,5200,5200,0.162363,0,amber wall,409,423,sparse,CORRECT,4901424,0.691,,9e705a02bdc7,False
semantic,16,32000,2,dense,-,-,-,olive banister,4130,4145,dense,CORRECT,3598904,,,529d32cbe05b,False
semantic,16,32000,2,1300,1300,0.040600,0,olive banister,4130,4145,sparse,CORRECT,3598904,0.492,,529d32cbe05b,False
semantic,16,32000,2,2000,2000,0.062453,0,olive banister,4130,4145,sparse,CORRECT,3598904,0.555,,529d32cbe05b,False
semantic,16,32000,2,2600,2600,0.081184,0,olive banister,4130,4145,sparse,CORRECT,3598904,0.605,,529d32cbe05b,False
semantic,16,32000,2,3500,3500,0.109281,0,olive banister,4130,4145,sparse,CORRECT,3598904,0.656,,529d32cbe05b,False
semantic,16,32000,2,5200,5200,0.162353,0,olive banister,4130,4145,sparse,CORRECT,3598904,0.764,,529d32cbe05b,False
semantic,16,32000,3,dense,-,-,-,olive clock,3167,3181,dense,WRONG_NEEDLE,2439688,,,469ad511b6b3,False
semantic,16,32000,3,1300,1300,0.040603,0,olive clock,3167,3181,sparse,WRONG_NEEDLE,2439688,0.588,,469ad511b6b3,False
semantic,16,32000,3,2000,2000,0.062457,0,olive clock,3167,3181,sparse,WRONG_NEEDLE,2439688,0.672,,469ad511b6b3,False
semantic,16,32000,3,2600,2600,0.081190,0,olive clock,3167,3181,sparse,WRONG_NEEDLE,2439688,0.719,,469ad511b6b3,False
semantic,16,32000,3,3500,3500,0.109288,0,olive clock,3167,3181,sparse,WRONG_NEEDLE,2439688,0.773,,469ad511b6b3,False
semantic,16,32000,3,5200,5200,0.162363,0,olive clock,3167,3181,sparse,WRONG_NEEDLE,2439688,0.852,,469ad511b6b3,False
