model,mode,K,N,sample,k_eff_target,k_eff_actual,c,window_floored,query_ref,needle_lo,needle_hi,arm,outcome,first_code,needle_in_topk,prompt_hash,oom
meta-llama/Llama-3.2-3B,semantic,16,32000,0,dense,-,-,-,ivory door,19856,19870,dense,CORRECT,6467652,,0b8a55b2390f,False
meta-llama/Llama-3.2-3B,semantic,16,32000,0,1300,1300,0.040603,0,ivory door,19856,19870,sparse,CORRECT,6467652,0.717,0b8a55b2390f,False
meta-llama/Llama-3.2-3B,semantic,16,32000,0,2000,2000,0.062457,0,ivory door,19856,19870,sparse,CORRECT,6467652,0.787,0b8a55b2390f,False
meta-llama/Llama-3.2-3B,semantic,16,32000,0,2600,2600,0.081190,0,ivory door,19856,19870,sparse,CORRECT,6467652,0.823,0b8a55b2390f,False
meta-llama/Llama-3.2-3B,semantic,16,32000,0,3500,3500,0.109288,0,ivory door,19856,19870,sparse,CORRECT,6467652,0.862,0b8a55b2390f,False
meta-llama/Llama-3.2-3B,semantic,16,32000,0,5200,5200,0.162363,0,ivory door,19856,19870,sparse,CORRECT,6467652,0.896,0b8a55b2390f,False
meta-llama/Llama-3.2-3B,semantic,16,32000,1,dense,-,-,-,amber wall,409,423,dense,CORRECT,6720839,,fe4debdb260c,False
meta-llama/Llama-3.2-3B,semantic,16,32000,1,1300,1300,0.040603,0,amber wall,409,423,sparse,CORRECT,6720839,0.744,fe4debdb260c,False
meta-llama/Llama-3.2-3B,semantic,16,32000,1,2000,2000,0.062457,0,amber wall,409,423,sparse,CORRECT,6720839,0.787,fe4debdb260c,False
meta-llama/Llama-3.2-3B,semantic,16,32000,1,2600,2600,0.081190,0,amber wall,409,423,sparse,CORRECT,6720839,0.823,fe4debdb260c,False
meta-llama/Llama-3.2-3B,semantic,16,32000,1,3500,3500,0.109288,0,amber wall,409,423,sparse,CORRECT,6720839,0.857,fe4debdb260c,False
meta-llama/Llama-3.2-3B,semantic,16,32000,1,5200,5200,0.162363,0,amber wall,409,423,sparse,CORRECT,6720839,0.900,fe4debdb260c,False
meta-llama/Llama-3.2-3B,semantic,16,32000,2,dense,-,-,-,olive banister,4130,4145,dense,WRONG_NEEDLE,4007355,,7ba7c31f0727,False
meta-llama/Llama-3.2-3B,semantic,16,32000,2,1300,1300,0.040600,0,olive banister,4130,4145,sparse,WRONG_NEEDLE,4007355,0.658,7ba7c31f0727,False
meta-llama/Llama-3.2-3B,semantic,16,32000,2,2000,2000,0.062453,0,olive banister,4130,4145,sparse,WRONG_NEEDLE,4007355,0.720,7ba7c31f0727,False
meta-llama/Llama-3.2-3B,semantic,16,32000,2,2600,2600,0.081184,0,olive banister,4130,4145,sparse,WRONG_NEEDLE,4007355,0.756,7ba7c31f0727,False
