model,mode,K,N,sample,k_eff_target,k_eff_actual,c,window_floored,query_ref,needle_lo,needle_hi,arm,outcome,first_code,needle_in_topk,prompt_hash,oom
Qwen/Qwen2.5-3B,semantic,16,32000,0,dense,-,-,-,ivory door,30374,30392,dense,CORRECT,8543550,,f952bad2463e,False
Qwen/Qwen2.5-3B,semantic,16,32000,0,1300,1300,0.040604,0,ivory door,30374,30392,sparse,CORRECT,8543550,0.875,f952bad2463e,False
Qwen/Qwen2.5-3B,semantic,16,32000,0,2000,2000,0.062459,0,ivory door,30374,30392,sparse,CORRECT,8543550,0.911,f952bad2463e,False
Qwen/Qwen2.5-3B,semantic,16,32000,0,2600,2600,0.081192,0,ivory door,30374,30392,sparse,CORRECT,8543550,0.931,f952bad2463e,False
Qwen/Qwen2.5-3B,semantic,16,32000,0,3500,3500,0.109292,0,ivory door,30374,30392,sparse,CORRECT,8543550,0.943,f952bad2463e,False
Qwen/Qwen2.5-3B,semantic,16,32000,0,5200,5200,0.162368,0,ivory door,30374,30392,sparse,CORRECT,8543550,0.964,f952bad2463e,False
Qwen/Qwen2.5-3B,semantic,16,32000,1,dense,-,-,-,amber wall,25958,25976,dense,WRONG_NEEDLE,2840439,,c11f63b3aeaf,False
Qwen/Qwen2.5-3B,semantic,16,32000,1,1300,1300,0.040604,0,amber wall,25958,25976,sparse,WRONG_NEEDLE,2840439,0.766,c11f63b3aeaf,False
Qwen/Qwen2.5-3B,semantic,16,32000,1,2000,2000,0.062459,0,amber wall,25958,25976,sparse,WRONG_NEEDLE,2840439,0.833,c11f63b3aeaf,False
Qwen/Qwen2.5-3B,semantic,16,32000,1,2600,2600,0.081192,0,amber wall,25958,25976,sparse,WRONG_NEEDLE,2840439,0.854,c11f63b3aeaf,False
Qwen/Qwen2.5-3B,semantic,16,32000,1,3500,3500,0.109292,0,amber wall,25958,25976,sparse,WRONG_NEEDLE,2840439,0.901,c11f63b3aeaf,False
Qwen/Qwen2.5-3B,semantic,16,32000,1,5200,5200,0.162368,0,amber wall,25958,25976,sparse,WRONG_NEEDLE,2840439,0.943,c11f63b3aeaf,False
Qwen/Qwen2.5-3B,semantic,16,32000,2,dense,-,-,-,olive banister,27983,28002,dense,CORRECT,9122586,,cf62d5adcbea,False
Qwen/Qwen2.5-3B,semantic,16,32000,2,1300,1300,0.040601,0,olive banister,27983,28002,sparse,CORRECT,9122586,0.854,cf62d5adcbea,False
Qwen/Qwen2.5-3B,semantic,16,32000,2,2000,2000,0.062455,0,olive banister,27983,28002,sparse,CORRECT,9122586,0.889,cf62d5adcbea,False
Qwen/Qwen2.5-3B,semantic,16,32000,2,2600,2600,0.081187,0,olive banister,27983,28002,sparse,CORRECT,9122586,0.920,cf62d5adcbea,False
Qwen/Qwen2.5-3B,semantic,16,32000,2,3500,3500,0.109285,0,olive banister,27983,28002,sparse,CORRECT,9122586,0.944,cf62d5adcbea,False
Qwen/Qwen2.5-3B,semantic,16,32000,2,5200,5200,0.162358,0,olive banister,27983,28002,sparse,CORRECT,9122586,0.970,cf62d5adcbea,False
Qwen/Qwen2.5-3B,semantic,16,32000,3,dense,-,-,-,olive clock,31388,31406,dense,CORRECT,7308923,,67c189667683,False
Qwen/Qwen2.5-3B,semantic,16,32000,3,1300,1300,0.040604,0,olive clock,31388,31406,sparse,CORRECT,7308923,0.958,67c189667683,False
Qwen/Qwen2.5-3B,semantic,16,32000,3,2000,2000,0.062459,0,olive clock,31388,31406,sparse,CORRECT,7308923,0.970,67c189667683,False
Qwen/Qwen2.5-3B,semantic,16,32000,3,2600,2600,0.081192,0,olive clock,31388,31406,sparse,CORRECT,7308923,0.979,67c189667683,False
Qwen/Qwen2.5-3B,semantic,16,32000,3,3500,3500,0.109292,0,olive clock,31388,31406,sparse,CORRECT,7308923,0.990,67c189667683,False
Qwen/Qwen2.5-3B,semantic,16,32000,3,5200,5200,0.162368,0,olive clock,31388,31406,sparse,CORRECT,7308923,0.997,67c189667683,False
Qwen/Qwen2.5-3B,semantic,16,32000,4,dense,-,-,-,indigo clock,19432,19451,dense,CORRECT,6390716,,347b32082096,False
Qwen/Qwen2.5-3B,semantic,16,32000,4,1300,1300,0.040601,0,indigo clock,19432,19451,sparse,CORRECT,6390716,0.814,347b32082096,False
